48.0,c1de04f39fa9
47.0,b0310cb90fd0
46.0,078baf501b55
45.0,b6609650a911
44.0,9b79adf82b13
43.0,fc05d86dc310
42.0,e2f9a0ed50bc
41.0,78c82e5cd777
40.0,84e0a4087157
39.0,d3b3e57e8088
38.0,4c4dc6640c7e
37.0,29182ac68a26
36.0,88c5342693e3
35.0,32e36869f84a
34.0,456394191c90
33.0,1f22a8cc7aa5
32.0,44234f451065
31.0,32dddf30405a
30.0,529a45c94e5a
29.0,f60bc49e6bd5
28.0,5f7c149b07ba
27.0,b8896fee530d
26.0,39faf812aaec
25.0,d86ad7db1de3
24.0,7c3b0732e765
23.0,5efffaf39814
22.0,0d4b9c74be55
21.0,30ec6828d10e
20.0,c90d44bfa96c
19.0,20238b786063
18.0,8efe34fa2289
17.0,919435c6f654
16.0,10fe550fadc6
15.0,450143d2d810
14.0.1,5ca6bd1f2bdf
13.0,2b643ea8edf9
12.0,a294a5b4f12d
11.0,b967d9c07377
10.0,baefae4b6685
9.0,34852484d0ae
8.0,d03b51a9b2bd
7.0,273977a2c0ea
6.0,218ed8178b1e
5.0,7b56ff900c2a
4.0.1,fca718600ca0