Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Evaluation of risks
1269325,1271847,func,ctrl,
1082178,1162218,test,ctrl,
1173634,1185392,hang,concurrency,
1206211,1216748,security,overflow,
1108035,1123966,feature,MissC,
1225003,1230692,crash,except,
1059797,1239789,hang^test,alloc,
1167248,1236619,crash,ctrl,
1120023,1296453,compat^test,overflow,
1151495,1200004,crash,OtherMem,
1253379,1263028,func,overflow,
1113062,1125940,crash^leak,corner,
1199224,1224994,func,,is it an error?
1216658,1272332,improve,ctrl,
1160295,1195844,crash,API,
1102642,1195073^1175058^1259916^1186257,crash^compat,OtherMem^exception^ctrl,
1219330,1293772,crash,corner,you should know it well
1257242,1275040^1275039,other,,is it really a fault?
1072044,1172785^1136871,crash,API,
1249312,1249659,rendering,corner,
1065909,1147497^1125503,security,corner^ctrl,
1081911,1153724,crash,ctrl,
1211000,1243453,security,corner,
1107684,1174486^1147215,otherfunc^null,,
1200021,1230740,func,driver,
1163239,1183433,crash,ctrl,
1129369,1197943,other,plugin,
1139271,1148203^1149278^1271847,rendering,compile^corner,
1089833,1177013,leak,corner,
1141081,1235573,security^crash,plugin,
1051822,1201051^1212349,test,ctrl^dangling,
1112410,1122586,func,ctrl,
1182411,1284939^1222662^1257759,security,ctrl,
1063848,1065880,other,missf,
1085266,1124880,crash,,I don't think this issue is eventually addressed another bug is created
1128769,1209751,rendering,ctrl,
1271847,1278005,rendering,corner,
1063733,1069369^1067018^1078211,security^leak,ctrl^null^umr,
1131638,1161416^1145101^1143575,rendering,ctrl^otherfunc,
1085175,1138072^1096721,security,ctrl^otherfunc,
1212499,1253386,rendering,overflow,
1232268,1239066,addon_compat,missc,
1150277,1268984,func^security,plugin,
1203616,1276483,func^addon_compat,ctrl,
1126723,1136827,perf,ctrl,
1234422,1237582^1257759,func,corner,
1196696,1267637,crash,ctrl,
1196398,1229339^1253471,func^crash^perf,otherfunc^overflow,
1054972,1070955^1062612,perf,ctrl^null,
1187067,1264622,crash,corner,
1205456,1209843,crash,ctrl,
1055904,1134064^1133625,perf,overflow,
1151361,1179051,crash,other,
1123498,1269408,perf,corner^ctrl,
1064481,1074963,func,otherfunc,
1108838,1147226^1116676^1240478,perf,ctrl^corner,
1180101,1244523,func,otherfunc,
1073345,1173195,crash,ctrl,
1073825,1240025,crash,ctrl,
1170211,1197296,crash,,
1060114,1138934,rendering,,
1121692,1143575^1129247,func,,
1126465,1128576^1129877^1129247,func,,
1120629,1126088,func,,
1160321,1208349,func,,
1147521,1153145^1155241,crash,,
1093316,1174450,other,,
1268569,1276869,crash^hang,,
1243538,1266013,func,,
1213646,1269254,addon_compat,,
1233819,1283594,func,,
1120128,1171094,rendering,,
1127213,1136360^1143968^1136107^1133190,crash,,
1200059,1207439,crash,,
1123452,1283724,crash^perf,,
1219134,1236746^1239066,rendering,,
1135408,1144900^1279063,feature,,
1102538,1155618^1115847^1243754^1148661^1138391^1249493,improve,,
1079729,1155059,crash,,
1138253,1143575,rendering,,
1121876,1123269,crash,,
1290365,1293206,func,,
1125503,1147497,crash,,
1208043,1224994,func,,
1194817,1198730,func,,
1183433,1185392,other,,
1173725,1186886,improve,,
1194576,1221825,other,,
1062920,1162218,func,,
1146201,1288976^1268984^1278198^1207439,func,,
1092842,1226904,rendering,,
1111160,1173634^1133583,improve,,
1167883,1274922,func,,
1121332,1289942,feature,,
1185820,1251697,crash^security,,
1193387,1200656^1200187,feature,,
1060738,1181896^1103188^1154389^1224766^1213517,hang,,
1175783,1183433,improve,,
1074765,1074765,other,,
1259042,1263572,other,,
1061327,1088984^1091296,perf,,
1062876,1181896^1257950,security,,
1112972,1200413^1151309,rendering,,
1141931,1230408^1181890^1274443^1229437^1156222,func,,
1137614,1159840,crash,,
1148071,1183433^1163239,func,,
1124031,1237842,feature,,
1223193,1239504,crash,,
1111971,1171716^1164567,crash,,
1089364,1147728^1104008^1135271,crash^rendering,,
1244523,1251184^1254731,improve,,
1264187,1272160,crash,,
1170143,1179051,crash,,
1175104,1179051,crash,,
1143299,1153695,crash^security,,
1232069,1253471,security,,
1212328,1277267^1290422,security^crash,,
1240985,1240985^1257314,crash,,
1064320,1191936^1200341,crash,,
1267980,1276930,hang^crash,,
1177505,1216096,rendering,,
1257234,1259699,func,,
1123535,1161416^1173657,crash^perf,,
1132468,1176551,security,,
1105194,1227136,crash,,
1190257,1256547,rendering,,
1075199,1137489^1160914,other,,
1262731,1264403,crash,,
1146874,1256992,crash,,
1119033,1125776,crash^compat,,
1119803,1121148,test,,
1185115,1216748,crash^security,,
1154599,,test,,
1174971,,security,,
1127122,,crash^compat,,
1245476,,feature,,
1280644,,feature,,
1275591,,perf^compat,,
1101122,,feature,,
1290343,,func,,
1132358,,crash,,
1265815,,rendering,,
1259482,,compat,,
1146101,,crash,,
1201874,,rendering,,
1141031,,func,,
1181097,,crash,,
1170913,,other,,no real impact
1091709,,rendering,,
1254122,,crash^security,,
1178601,,crash+compat,,
1280965,,perf+func,,
1285928,,func,,
1149230,,improve,,
1236058,,func,,
1254980,,func,,
1186687,,improve,,
1099345,,compile,,
1085509,,other,,
1260944,,perf,,
1217170,,compat,,
1225970,,crash+security,,
1245074,,func,,
1205109,,func,,
1233152,,crash^security,,
1185653,,compat,,
1248580,,crash^security,,
1257870,,compile,,
1232229,,crash,,
1238753,,improve,,
1238440,,crash^security,,
1131370,,crash,,
1198547,,improve,,
1273701,,crash^security,,
1248049,,perf^hang,,
1148286,,crash,,
1086936,,feature,,
1208665,,security,,
1244330,,crash,,
1095575,,feature,,
1089000,,func,,
1256500,,crash,,
1084513,,crash,,
1154923,,security,,
1198724,,rendering,,
1142455,,rendering,,
1244250,,security^crash,,
1266142,,improve,,
1111771,,other,,
1234170,,crash,,
1285409,,func,,
1180417,,hang^perf,,
1147919,,func,,
1277156,,crash,,
1221855,,crash,,
1061712,,crash,,
1105045,,security,,
1144991,,security,,
1188822,,func,,
1272652,,func,,
1243843,,crash^security,,
1290749,,crash^hang,,
1056251,,func,,
1149649,,improve,,
1254025,,func,,
1225044,,rendering,,
1196437,,func,,
1173730,,improve,,
1198302,,hang,,
1263439,,func,,
1238592,,crash,,
1189702,,func,,
1053565,,compile,,
1207376,,func^compat,,
1208349,,func^compat,,
1210099,,crash^security,,
1133862,,security,,privacy
1270607,,crash,,
1192226,,crash^security,,
1239015,,func,,
1116626,,crash,,
1166867,,improve,,
1279413,,crash^security,,
1103119,,func,,
1151506,,crash,,
1161892,,hang,,
1142835,,crash,,
1147447,,crash,,
1159659,,func,,
1255526,,func,,
1136055,,func,,
1264780,,func,,
1165054,,crash^other,,
1271160,,feature,,
1088910,,func,,
1283072,,func,,
1243335,,security^crash,,
1097587,,improve,,
1222783,,crash,,
1065977,,func,,
1124106,,perf,,
1195098,,crash,,
1147026,,func,,
1211269,,func,,
1086842,,other,,
1189058,,func,,
1172076,,crash^security,,
1270985,,func,,
1162205,,func,,
1243178,,security,,
1266286,,func,,
1216130,,security,,
1181042,,feature,,
1259729,,perf,,
1188344,,rendering,,
1294649,,improve,,
1053725,,func,,
1193015,,crash,,
1103375,,crash,,
1128564,,func,,
1245246,,crash,,
1113925,,security,,
1211016,,test,,
1106238,,improve,,
1253928,,rendering,,
1059807,,crash,,
1088635,,security,,
1152026,,security^crash,,
1285987,,rendering^compat,,
1068218,,crash^security,,
1259169,,addon_compat,,
1266878,,crash^compat,,
1246011,,func,,
1106942,,func,,
1283573,,improve,,
1274726,,rendering,,
1282476,,func,,
1116812,,crash,,
1230668,,crash^security,,
1169867,,security^crash,,
1065478,,func^compat,,
1145295,,test,,
1246854,,test,,
1166323,,crash,,
1080165,,test^func,,
1188378,,addon_compat,,
1176730,,compile,,
1096632,,crash,,
1268922,,crash,,
1060675,,func,,
1265795,,func,,
1088637,,improve,,
1129039,,crash^compat,,
1089159,,func,,
1177136,,improve,,
1148328,,security,,
1243612,,func,,
1115616,,compat,,
1170304,,improve,,
1148418,,feature,,
1152280,,security,,
1126490,,rendering,,
1065604,,other,,
1102612,,crash^compat,,
1237160,,perf^rendering^compat,,
1180688,,func,,
1063730,,security,,
1119302,,other,,
1211871,,security,,
1289634,,func,,
1211586,,other,,
1216611,,crash,,
1218111,,compat,,
1128389,,other,,
1196403,,func,,
1162411,,security,,
1100482,,crash,,
1139132,,rendering,,
1134561,,security,,
1093368,,addon_compat,,
1249845,,other,,
1215948,,func,,
1060888,,func,,
1089413,,crash,,
1187420,,leak^security,,
1151360,,func,,
1192539,,crash,,
1207571,,security^crash,,
1071822,,func,,
1146213,,security^crash,,
1262661,,perf,,
1086937,,crash,,
1162364,,hang,,
1276467,,rendering,,
1176073,,crash,,
1127246,,security,,
1195844,,crash,,
1143278,,test,,
1261048,,func,,
1214425,,crash^addon_compat,,
1066459,,rendering,,
1182278,,addon_compat,,
1090967,,func,,
1236372,,improve,,
1163422,,security,,
1167197,,crash,,
1293128,,func,,
1044077,,security,,
1130978,,crash,,
1163559,,rendering,,
1104036,,func,,
1151412,,rendering,,
1208289,,addon_compat,,
1153529,,rendering,,
1082323,,compile,,
1238892,,feature,,
1228230,,compile,,
1122101,,crash,,
1170141,,crash,,
1232258,,improve,,
1263525,,func,,
1270218,,func,,
1150520,,func,,
1136140,,crash,,
1080319,,func,,
1093863,,other,,
1246061,,security,,
1259600,,func,,
1162316,,rendering,,
1242909,,crash,,
1153693,,crash,,
1202287,,rendering,,
1254721,,security+crash,,
1234120,,compat,,
1135764,,rendering,,
1122445,,func,,
1268130,,crash,,
1200698,,func,,
1281168,,crash,,
1063856,,compat,,
1092939,,func,,
1135883,,crash+perf,,
1218027,,compile,,
1256065,,crash^security,,
1151139,,security,,
1124542,,crash,,
1112565,,func,,
1245264,,security,,
1229971,,other,,
1244995,,crash,,
1110931,,test,,
1245260,,hang,,
1282334,,perf,,
1209464,,hang,,
1163109,,security,,
1228950,,security,,
1084672,,perf,,
1156131,,addon_compat,,
1181651,,crash,,
1209140,,feature,,
1279494,,crash,,
1073502,,corrupt,,
1148032,,security,,
1108998,,func,,
1249849,,func+crash,,
1127507,,rendering,,
1062612,,crash,,
1149526,,crash^security,,
1089380,,func,,
1275189,,crash,,
1252058,,hang,,
1251919,,crash,,
1208234,,crash,,
1120086,,test,,
1181582,,rendering,,
1279467,,func,,
1116404,,other,,
1270381,,security,,
1169314,,rendering,,
1108841,,improve,,
1156566,,func,,
1056410,,perf,,
1194265,,func,,
1121826,,func,,
1184974,,security,,
1254167,,crash,,
1232887,,compile,,
1122750,,crash,,
1134387,,test,,
1235427,,func,,
1211708,,rendering,,
1275739,,crash,,
1290633,,func,,
1279135,,rendering,,
1133909,,security,,
1179945,,compile,,
1171094,,crash,,
1255908,,func,,
1207946,,func,,
1068290,,feature,,
1194488,,func^addon_compat,,
1255270,,perf^security,,
1169911,,rendering,,
1179262,,feature,,
1083167,,func,,
1166048,,func,,
1257821,,compat,,
1085092,,rendering,,
1232527,,func,,
1289506,,improve,,
1184737,,func,,
1276869,,crash^hang,,
1178984,,crash,,
1154366,,,
1263951,,,
1096089,,,
1166924,,,
1262807,,,
1242904,,,
